,anime_id,name,genre,type,episodes,rating,members
579,5485,Shin Mazinger Shougeki! Z-hen,"Action, Mecha, Shounen, Super Power",TV,26,7.96,7872
4337,21569,Pokemon XY: Hakai no Mayu to Diancie,"Adventure, Fantasy, Kids",Movie,1,6.75,9290
4876,9943,Ore-sama Kingdom,"Romance, Shoujo",OVA,14,6.61,1846
10232,22657,Shin Seikimatsu: Yatsuto no Souguu,"Comedy, Sci-Fi",ONA,5,4.9,73
2935,4773,Yamato Takeru,"Action, Adventure, Fantasy, Magic, Mecha, Sci-Fi, Shounen, Space",TV,37,7.13,883
1259,9181,Motto To LOVE-Ru,"Comedy, Ecchi, Harem, School, Sci-Fi, Shounen",TV,12,7.61,134988
10350,16163,Sore Ike! Anpanman: Kirakira Boshi no Namida,"Adventure, Comedy, Kids, Super Power",Movie,1,6.07,121
8627,21525,Geba Geba Shou Time!,Comedy,OVA,1,5.0,50
4490,2067,Gekiganger 3: The Movie,"Action, Comedy, Mecha, Parody, Sci-Fi, Shounen",OVA,1,6.71,2562
4680,32214,Koukaku no Pandora,"Action, Comedy, Ecchi, Sci-Fi",TV,12,6.66,25545
11909,2344,Choujin Densetsu Urotsukidouji: Inferno Road,"Demons, Fantasy, Hentai, Horror, Sci-Fi",OVA,3,5.91,1210
4539,472,To Heart,"Drama, Harem, Romance, School, Slice of Life",TV,13,6.7,16757
9073,10236,Kagee Grimm Douwa,"Adventure, Demons, Drama, Fantasy, Historical, Kids, Magic, Romance, Supernatural",TV,52,5.94,129
2921,3136,Ochamegami Monogatari: Korokoro Pollon,"Comedy, Magic, Parody",TV,46,7.13,1049
3025,11355,"Kono Danshi, Uchuujin to Tatakaemasu.","Action, Fantasy, Shounen Ai, Super Power, Supernatural",OVA,1,7.1,12732
3175,9712,Maria†Holic Alive,"Comedy, Parody, School, Shoujo Ai",TV,12,7.06,40502
2766,2011,Taiho Shichau zo Special,"Action, Comedy, Police, Shounen",TV,20,7.17,2856
10618,12903,Tsushima Maru: Sayounara Okinawa,Historical,Movie,1,7.09,120
7701,29766,Playground,Dementia,Movie,1,5.11,195
11338,4590,Soukan Yuugi,Hentai,OVA,2,6.8,4491
8564,23971,Fuku-chan no Zousan Butai,"Comedy, Historical",Movie,1,7.4,68
12189,7162,Yaruki Manman,"Comedy, Hentai, Parody",OVA,3,5.31,251
5690,19351,Nijiiro☆Prism Girl,"Comedy, Romance, School, Shoujo",OVA,4,6.38,1390
3424,5830,Tsurupika Hagemaru-kun,"Comedy, Kids",TV,59,7.0,322
8655,30042,Geori-eui Mubeopja,"Action, Martial Arts",Movie,1,5.53,179
6819,6787,Goulart Knights: Evoked the Beginning Black,"Action, Drama, Fantasy, Shoujo, Supernatural",OVA,1,5.91,8002
6307,310,"Chiisana Obake Acchi, Kocchi, Socchi","Comedy, Supernatural",TV,50,6.17,1226
5152,21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA","Comedy, Ecchi, Romance, Shounen, Supernatural",OVA,1,6.54,14564
5715,2760,Densetsu Kyojin Ideon: Sesshoku-hen,"Drama, Mecha, Sci-Fi, Space",Movie,1,6.37,1740
4640,2638,Doraemon: It&#039;s Spring!,"Adventure, Comedy, Fantasy, Kids, Shounen",Special,1,6.67,476
7167,2220,Be-Boy Kidnapp&#039;n Idol,"Drama, Shounen Ai",OVA,1,5.67,4311
103,11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405
5180,576,Magikano,"Comedy, Fantasy, Harem, Magic, Romance, Shounen",TV,13,6.53,22664
11595,3308,Heartwork: Symphony of Destruction,"Action, Hentai",OVA,3,6.38,2197
10157,28693,Seisho Gensou Fu: Adam to Eve,Historical,Movie,1,6.0,61
5064,6492,Minky Momo in Tabidachi no Eki,"Drama, Fantasy, Magic, Shoujo",OVA,1,6.56,400
3680,15633,Code:Breaker OVA,"Action, Comedy, Ecchi, School, Shounen, Super Power, Supernatural",OVA,3,6.91,17814
5324,1193,Happy Seven: The TV Manga,"Comedy, Fantasy",TV,13,6.49,3287
5374,1903,Stratos 4: Logbook,"Action, Ecchi, Sci-Fi",Special,1,6.48,1090
8845,4417,Hennako-chan,Comedy,ONA,6,6.04,129
10051,29935,Qin Shiming Yue Zhi: Tian Xing Jiu Ge,"Action, Fantasy, Historical, Martial Arts",ONA,3,7.07,194
8476,24663,Dororonpa!,"Comedy, Slice of Life, Supernatural",TV,115,7.5,104
